timestamp,x_g,y_g,f_g
2026-05-05T10:57:01.692,0.1406,0.0000,1.0000
2026-05-05T10:57:01.783,0.1875,0.0000,1.0000
2026-05-05T10:57:01.917,0.1875,0.0000,1.0000
2026-05-05T10:57:02.007,0.1406,0.0000,1.0314
2026-05-05T10:57:02.097,0.1406,0.0000,0.9845
2026-05-05T10:57:02.187,0.1406,0.0000,1.0314
2026-05-05T10:57:02.323,0.1875,0.0000,1.0314
2026-05-05T10:57:02.413,0.2344,-0.0469,1.0783
2026-05-05T10:57:02.502,0.1406,0.0000,1.0314
2026-05-05T10:57:02.638,0.1406,0.0000,1.0783
2026-05-05T10:57:02.728,0.1406,0.0469,1.0314
2026-05-05T10:57:02.818,0.1406,0.0000,1.0314
2026-05-05T10:57:02.908,0.1875,0.0000,1.0314
2026-05-05T10:57:03.043,0.1875,0.0000,0.9845
2026-05-05T10:57:03.133,0.1875,-0.0469,1.0314
2026-05-05T10:57:03.223,0.1875,0.0000,1.0314
2026-05-05T10:57:03.358,0.1875,0.0000,0.9845
2026-05-05T10:57:03.448,0.2344,0.0000,1.0314
2026-05-05T10:57:03.538,0.1875,0.0000,0.9845
2026-05-05T10:57:03.628,0.1406,0.0000,0.9845
2026-05-05T10:57:03.763,0.2344,0.0000,0.9845
2026-05-05T10:57:03.853,0.1875,0.0000,0.9845
2026-05-05T10:57:03.943,0.1875,0.0000,0.9845
2026-05-05T10:57:04.078,0.1406,0.0000,1.0314
2026-05-05T10:57:04.169,0.1875,-0.0469,1.0314
2026-05-05T10:57:04.258,0.1875,0.0000,1.0314
2026-05-05T10:57:04.348,0.1875,0.0469,0.9845
2026-05-05T10:57:04.483,0.1406,0.0000,0.9845
2026-05-05T10:57:04.573,0.1875,0.0469,1.0314
2026-05-05T10:57:04.663,0.1875,0.0000,1.0783
2026-05-05T10:57:04.798,0.1875,0.0000,1.0314
2026-05-05T10:57:04.888,0.2344,0.0469,0.9845
2026-05-05T10:57:04.978,0.1875,-0.0469,0.9845
2026-05-05T10:57:05.068,0.1875,0.0469,1.0314
2026-05-05T10:57:05.203,0.1406,0.0000,1.0314
2026-05-05T10:57:05.293,0.1406,-0.0469,0.9845
2026-05-05T10:57:05.383,0.1875,-0.0469,1.0314
2026-05-05T10:57:05.518,0.1406,0.0000,0.9845
2026-05-05T10:57:05.608,0.1875,-0.0469,1.0314
2026-05-05T10:57:05.698,0.1406,0.0000,1.0314
2026-05-05T10:57:05.788,0.1875,0.0938,0.9845
2026-05-05T10:57:05.923,0.1875,0.0469,0.9845
2026-05-05T10:57:06.013,0.1875,-0.0469,0.9845
2026-05-05T10:57:06.103,0.2344,0.0000,0.9845
2026-05-05T10:57:06.238,0.1875,-0.0469,1.0314
2026-05-05T10:57:06.328,0.0938,-0.0938,1.0314
2026-05-05T10:57:06.418,0.2344,0.1406,1.0783
2026-05-05T10:57:06.553,0.1875,0.1875,1.0783
2026-05-05T10:57:06.643,0.0938,-0.0938,0.9845
2026-05-05T10:57:06.733,0.2344,0.1875,0.9845
2026-05-05T10:57:06.913,0.2344,0.1406,1.0783
2026-05-05T10:57:06.958,0.0938,-0.1406,1.0314
2026-05-05T10:57:07.048,0.1875,0.1875,1.0314
2026-05-05T10:57:07.183,0.2344,0.0938,0.9845
2026-05-05T10:57:07.273,0.0938,-0.1406,1.0314
2026-05-05T10:57:07.364,0.1406,-0.1875,1.0314
2026-05-05T10:57:07.498,0.2813,0.0938,1.0783
2026-05-05T10:57:07.588,0.2344,0.0938,1.0783
2026-05-05T10:57:07.678,0.0938,-0.1875,1.0314
2026-05-05T10:57:07.768,0.0938,-0.1406,0.9376
2026-05-05T10:57:07.903,0.2344,0.1875,0.9845
2026-05-05T10:57:07.993,0.1875,0.1406,1.0783
2026-05-05T10:57:08.083,0.0469,-0.1406,0.9845
2026-05-05T10:57:08.173,0.1406,-0.1875,1.0314
2026-05-05T10:57:08.308,0.2813,0.1875,1.0314
2026-05-05T10:57:08.398,0.2344,0.1406,1.0314
2026-05-05T10:57:08.488,0.0938,-0.0938,1.0314
2026-05-05T10:57:08.623,0.0938,-0.1875,0.9845
2026-05-05T10:57:08.713,0.2813,0.1875,1.0314
2026-05-05T10:57:08.803,0.2344,0.1406,1.0314
2026-05-05T10:57:08.938,0.1406,-0.0469,1.0314
2026-05-05T10:57:09.028,0.0938,-0.1406,1.0783
2026-05-05T10:57:09.118,0.0938,-0.2813,1.0783
2026-05-05T10:57:09.209,0.2344,0.1875,1.0783
2026-05-05T10:57:09.343,0.2813,0.1875,1.0314
2026-05-05T10:57:09.433,0.1406,0.1406,1.0314
2026-05-05T10:57:09.523,0.0469,-0.1875,1.0314
2026-05-05T10:57:09.658,0.2344,0.0938,0.7501
2026-05-05T10:57:09.748,-0.0938,0.0469,0.1875
2026-05-05T10:57:09.838,0.1406,1.2658,0.6095
2026-05-05T10:57:09.928,-0.9376,0.6095,0.7032
2026-05-05T10:57:10.063,0.3282,-0.0938,0.5157
2026-05-05T10:57:10.153,0.0000,0.7970,1.1721
2026-05-05T10:57:10.243,0.0938,0.9376,0.6564
2026-05-05T10:57:10.378,0.1406,0.9376,0.2344
2026-05-05T10:57:10.468,0.0000,1.0314,0.3282
2026-05-05T10:57:10.558,-0.0938,1.0783,0.3751
2026-05-05T10:57:10.648,-0.1406,0.7032,0.5626
2026-05-05T10:57:10.783,-0.1875,0.8908,0.5626
2026-05-05T10:57:10.873,-0.0469,0.7970,0.6095
2026-05-05T10:57:10.963,-0.0469,0.7970,0.5157
2026-05-05T10:57:11.098,0.0938,0.9845,0.3751
2026-05-05T10:57:11.188,0.0938,0.9376,0.3751
2026-05-05T10:57:11.323,-0.0938,0.9376,0.3751
2026-05-05T10:57:11.368,-0.1875,0.9376,0.4688
2026-05-05T10:57:11.503,-0.1406,0.8908,0.5626
2026-05-05T10:57:11.593,-0.0938,0.8908,0.5626
2026-05-05T10:57:11.683,-0.0469,0.8908,0.5157
2026-05-05T10:57:11.818,0.0938,0.9376,0.5157
2026-05-05T10:57:11.908,0.0938,0.8908,0.4219
2026-05-05T10:57:11.999,0.0000,0.8908,0.5157
2026-05-05T10:57:12.133,-0.1406,0.8908,0.5626
